x,y,class,gene,nucleus
1629.21,2967.41,Fibroblast / stroma,Other,Cytoplasmic
6980.79,2419.98,Other,Other,Cytoplasmic
5609.19,1000.41,Tumour epithelial,ERBB2,Cytoplasmic
2401.93,4272.73,Tumour epithelial,ERBB2,Cytoplasmic
5738.73,4200.44,Immune,Other,Nuclear
2533.95,742.32,Other,Other,Cytoplasmic
5190.6,293.48,Other,Other,Cytoplasmic
5244.2,2840.3,Other,Other,Cytoplasmic
6445.99,3927.15,Tumour epithelial,GATA3,Cytoplasmic
6761.52,1289.38,Other,Other,Cytoplasmic
4216.5,3350.51,Endothelial / vascular,Other,Nuclear
391.5,3347.49,Immune,Other,Nuclear
347.11,4547.52,Fibroblast / stroma,POSTN,Cytoplasmic
7029.44,2879.19,Other,SCD,Nuclear
1894.49,2164.32,Other,Other,Cytoplasmic
3694.95,689.71,Tumour epithelial,ANKRD30A,Cytoplasmic
7416.83,2988.85,Tumour epithelial,Other,Cytoplasmic
289.54,4145.93,Other,CCND1,Nuclear
1427.55,98.49,Other,Other,Cytoplasmic
1237.38,682.42,Tumour epithelial,Other,Cytoplasmic
1671.34,1294.93,Tumour epithelial,KRT7,Cytoplasmic
3418.38,1797.75,Tumour epithelial,EPCAM,Cytoplasmic
4597.51,3912.4,Immune,Other,Cytoplasmic
7279.15,1544.73,Fibroblast / stroma,POSTN,Cytoplasmic
262.66,1313.25,Tumour epithelial,ERBB2,Nuclear
2992.49,1057.69,Other,SCD,Cytoplasmic
702.35,2100.97,Other,Other,Cytoplasmic
6823.22,2707.85,Other,SCD,Cytoplasmic
4380.05,3468.48,Other,Other,Nuclear
6088.69,4039.35,Other,Other,Cytoplasmic
7047.45,2960.57,Tumour epithelial,GATA3,Nuclear
7402.34,3285.88,Myoepithelial / muscle,Other,Nuclear
6532.08,1070.69,Fibroblast / stroma,Other,Cytoplasmic
1091.07,1591.51,Other,Other,Cytoplasmic
899.64,5170.86,Immune,Other,Nuclear
3530.53,4716.27,Fibroblast / stroma,LUM,Cytoplasmic
4454.01,5241.64,Adipocyte,Other,Nuclear
1129.24,4620.04,Other,CCND1,Cytoplasmic
4235.82,4251.7,Other,Other,Cytoplasmic
4013.35,5269.68,Immune,Other,Cytoplasmic
1774.77,3459.54,Other,Other,Nuclear
867.96,5368.38,Other,Other,Nuclear
5877.76,3122.3,Other,Other,Nuclear
3718.73,2663.91,Tumour epithelial,EPCAM,Cytoplasmic
5991.16,3041.14,Other,Other,Cytoplasmic
433.73,3730.08,Fibroblast / stroma,Other,Cytoplasmic
6418.29,2786.26,Fibroblast / stroma,Other,Cytoplasmic
3720.79,2914.03,Tumour epithelial,EPCAM,Cytoplasmic
99.15,854.49,Fibroblast / stroma,POSTN,Cytoplasmic
1314.15,1663.89,Other,Other,Cytoplasmic
3248.72,878.72,Tumour epithelial,ERBB2,Nuclear
1414.97,1961.41,Other,Other,Nuclear
5821.77,3415.73,Tumour epithelial,Other,Nuclear
4105.77,2755.66,Immune,Other,Cytoplasmic
478.99,2535.28,Other,Other,Nuclear
6668.05,2498.45,Tumour epithelial,Other,Nuclear
7066.11,3519.43,Tumour epithelial,KRT7,Cytoplasmic
7198.98,2072.55,Other,Other,Nuclear
6031.89,3104.77,Other,POLR2J3,Nuclear
6551.64,4321.34,Fibroblast / stroma,Other,Cytoplasmic
1508.6,1294.02,Tumour epithelial,ANKRD30A,Cytoplasmic
2743.93,5378.79,Other,Other,Cytoplasmic
5939.54,4144.89,Immune,Other,Cytoplasmic
5184.3,3791.61,Other,Other,Nuclear
6385.16,4555.84,Tumour epithelial,GATA3,Nuclear
4247.48,457.89,Tumour epithelial,ANKRD30A,Nuclear
1125.64,3776.46,Tumour epithelial,Other,Cytoplasmic
1026.62,3451.27,Tumour epithelial,Other,Nuclear
1159.8,3582.22,Other,Other,Nuclear
3327.47,4641.38,Immune,Other,Cytoplasmic
6914.25,2704.1,Fibroblast / stroma,Other,Cytoplasmic
1951.52,2770.67,Other,Other,Cytoplasmic
6737.49,2187.35,Tumour epithelial,ERBB2,Cytoplasmic
3374.07,1313.69,Tumour epithelial,GATA3,Nuclear
3846.17,4444.97,Fibroblast / stroma,Other,Cytoplasmic
1040.34,3497.78,Tumour epithelial,FOXA1,Nuclear
1017.37,4151.36,Tumour epithelial,KRT7,Cytoplasmic
5991.96,3893.07,Endothelial / vascular,Other,Cytoplasmic
36.12,1147.88,Other,Other,Nuclear
3836.89,1538.32,Immune,Other,Cytoplasmic
56.87,4230.33,Endothelial / vascular,Other,Nuclear
4159.5,4697.24,Tumour epithelial,KRT7,Cytoplasmic
6786.3,598.17,Other,Other,Cytoplasmic
2822.74,2587.61,Other,Other,Cytoplasmic
6756.83,3643.67,Other,Other,Cytoplasmic
948.49,631.31,Tumour epithelial,Other,Cytoplasmic
3329.41,2851.2,Other,Other,Cytoplasmic
1522.03,2726.74,Other,Other,Cytoplasmic
4470.59,4749.51,Fibroblast / stroma,Other,Nuclear
902.45,3528.32,Other,Other,Cytoplasmic
1629.63,2293.85,Myoepithelial / muscle,Other,Cytoplasmic
5168.31,1998.43,Other,SCD,Cytoplasmic
778.87,3558.57,Other,Other,Cytoplasmic
4362.97,4951.54,Other,Other,Nuclear
582.4,1563.24,Other,Other,Nuclear
5731.94,2841.72,Other,Other,Nuclear
3959.79,4710.55,Immune,Other,Cytoplasmic
686.39,2204.24,Other,Other,Nuclear
1828.22,5063.35,Other,POLR2J3,Cytoplasmic
7348.6,732.14,Immune,Other,Cytoplasmic
1467.57,1633.99,Other,Other,Cytoplasmic
678.96,4256.86,Tumour epithelial,Other,Nuclear
124.26,4916.92,Other,Other,Nuclear
484.3,2258.46,Other,Other,Nuclear
5856.97,2998.66,Tumour epithelial,Other,Cytoplasmic
6799.5,3897.34,Other,Other,Cytoplasmic
1756.68,3105.75,Immune,Other,Nuclear
667.75,5312.03,Myoepithelial / muscle,Other,Cytoplasmic
4693.63,2516.49,Tumour epithelial,Other,Cytoplasmic
707.73,5059.71,Immune,Other,Nuclear
5584.05,300.67,Other,Other,Nuclear
2923.06,293.19,Tumour epithelial,Other,Cytoplasmic
2737.62,467.73,Other,Other,Nuclear
5074.63,515.03,Fibroblast / stroma,Other,Nuclear
2814.97,3222.46,Immune,Other,Nuclear
858.92,3790.14,Endothelial / vascular,Other,Cytoplasmic
2499.54,4465.07,Immune,Other,Cytoplasmic
1243.99,2234.23,Other,Other,Cytoplasmic
3804.23,1359.14,Other,Other,Cytoplasmic
834.48,4561.08,Other,Other,Nuclear
6687.58,2279.61,Other,Other,Nuclear
1194.75,5067.15,Other,Other,Nuclear
6570.49,4761.45,Tumour epithelial,Other,Cytoplasmic
1545.99,1524.67,Other,POLR2J3,Nuclear
1034.35,2837.29,Myoepithelial / muscle,Other,Nuclear
6719.15,3571.89,Other,Other,Nuclear
6319.25,1659.87,Fibroblast / stroma,LUM,Cytoplasmic
4707.82,4036.8,Other,Other,Cytoplasmic
2820.79,450.5,Tumour epithelial,GATA3,Cytoplasmic
144.86,931.15,Tumour epithelial,ERBB2,Nuclear
3328.87,4755.5,Immune,Other,Cytoplasmic
5547.75,3312.16,Other,Other,Nuclear
2111.49,2307.51,Tumour epithelial,ANKRD30A,Cytoplasmic
5962.09,3994.58,Myoepithelial / muscle,Other,Cytoplasmic
3112.35,3953.74,Other,Other,Nuclear
2751.11,1930.43,Other,Other,Cytoplasmic
7466.37,1694.48,Fibroblast / stroma,Other,Cytoplasmic
5397.36,4179.35,Immune,Other,Cytoplasmic
5978.85,3184.78,Tumour epithelial,TACSTD2,Cytoplasmic
1359.88,4731.62,Other,Other,Cytoplasmic
2245.12,1750.8,Other,CCND1,Nuclear
7069.5,2573.15,Other,Other,Nuclear
1174.56,4581.32,Tumour epithelial,ERBB2,Cytoplasmic
4743.93,3389.16,Other,Other,Cytoplasmic
6013.1,3763.13,Other,Other,Nuclear
4050.77,5241.24,Other,Other,Cytoplasmic
6055.34,5398.89,Fibroblast / stroma,Other,Cytoplasmic
1384.66,2605.89,Other,Other,Nuclear
3188.54,1558.68,Other,Other,Nuclear
1575.7,3137.6,Other,CCND1,Cytoplasmic
2784.16,781.96,Other,CCND1,Cytoplasmic
3555.81,1181.85,Tumour epithelial,ERBB2,Cytoplasmic
7471.49,3087.53,Other,Other,Nuclear
779.17,3477.47,Other,Other,Nuclear
6351.16,2946.63,Fibroblast / stroma,LUM,Nuclear
1490.36,5293.29,Fibroblast / stroma,POSTN,Cytoplasmic
2667.94,5237.86,Tumour epithelial,ERBB2,Cytoplasmic
651.87,528.48,Other,SCD,Cytoplasmic
6982.48,2664.61,Other,Other,Nuclear
5770.56,4592.08,Fibroblast / stroma,Other,Nuclear
6576.4,4861.61,Tumour epithelial,Other,Cytoplasmic
4710.88,267.13,Fibroblast / stroma,Other,Cytoplasmic
1045.98,4638.89,Other,Other,Nuclear
1455.06,4448.05,Immune,Other,Nuclear
2387.2,5190.45,Tumour epithelial,Other,Nuclear
6212.78,720.64,Other,Other,Cytoplasmic
1117.59,1079.54,Other,Other,Nuclear
449.08,4121.46,Other,Other,Nuclear
2266.44,1307.28,Other,Other,Cytoplasmic
491.73,443.76,Other,Other,Cytoplasmic
