"gene","logFC","AveExpr","t","pvalue","padj"
"CS",0.1824,12.5536,1.3832,0.1666,0.2595
"RP11-977G19.10",0.2866,10.6914,1.8549,0.06361,0.119
"CNPY2",0.4594,10.8372,2.8228,0.00476,0.01352
"PAN2",-0.3619,10.2582,-2.1135,0.03455,0.07147
"IL23A",0.5793,6.0303,2.4436,0.01454,0.03482
"STAT2",0.2027,11.7121,1.1559,0.2477,0.3554
"TIMELESS",1.5507,9.9602,7.1185,1.091e-12,3.818e-11
"MIP",-0.3729,6.2641,-1.7323,0.08322,0.148
"SPRYD4",0.0488,9.6555,0.2836,0.7767,0.8417
"GLS2",0.2971,7.6996,1.058,0.29,0.4027
"RBMS2",-0.5331,10.8992,-2.8238,0.004746,0.01349
"BAZ2A",0.1173,12.1724,0.7544,0.4506,0.5646
"ATP5B",0.1087,13.841,0.6508,0.5152,0.6243
"PTGES3",0.3092,12.8217,1.5073,0.1317,0.2152
"NACA",-0.2829,14.2566,-1.6167,0.106,0.1804
"PRIM1",0.5562,8.2935,2.6665,0.007664,0.02021
"HSD17B6",2.8123,7.1667,10.9386,7.539e-28,3.28e-25
"RDH16",1.1464,6.0975,4.1683,3.068e-05,0.0001782
"GPR182",-1.1495,5.7852,-2.3067,0.02107,0.04754
"ZBTB39",-0.004,8.9077,-0.0196,0.9844,0.9896
"NEMP1",0.9487,10.0321,4.2917,1.773e-05,0.0001103
"NAB2",0.0558,10.0081,0.2687,0.7881,0.8503
"STAT6",-0.3812,12.3051,-2.714,0.006648,0.01795
"LRP1",-0.8063,14.0418,-2.2783,0.02271,0.05061
"NXPH4",1.1231,6.6324,3.9152,9.035e-05,0.0004547
"SHMT2",0.7964,10.9824,3.611,0.000305,0.001302
"NDUFA4L2",-0.4553,8.6697,-1.8328,0.06683,0.1238
"STAC3",0.9371,7.2574,3.5217,0.0004288,0.001739
"RP11-123K3.4",0.2486,10.1989,1.4057,0.1598,0.2512
"R3HDM2",0.2754,11.222,1.8458,0.06492,0.1209
"GLI1",-0.7028,6.5793,-1.9109,0.05602,0.1069
"ARHGAP9",-0.142,7.8937,-0.5474,0.5841,0.6859
"MARS",0.427,11.2905,3.3513,0.0008043,0.002954
"DDIT3",-0.3901,9.0226,-2.0704,0.03841,0.07793
"MBD6",0.4336,11.0768,2.6366,0.008375,0.02175
"DCTN2",-0.1115,11.784,-0.854,0.3931,0.508
"KIF5A",-1.2635,6.8642,-3.0222,0.002509,0.007803
"PIP4K2C",0.6488,10.9242,4.3295,1.494e-05,9.517e-05
"DTX3",0.0208,9.8624,0.108,0.914,0.9401
"ARHGEF25",-0.6847,9.5177,-3.4083,0.0006537,0.002489
"SLC26A10",0.1425,7.1927,0.5268,0.5984,0.6987
"B4GALNT1",0.5478,7.7684,1.7937,0.07287,0.1328
"OS9",-0.1856,13.1129,-1.2652,0.2058,0.3069
"AGAP2",0.0064,8.5221,0.0347,0.9723,0.9811
"TSPAN31",0.2399,11.5969,1.4283,0.1532,0.2428
"CDK4",0.5208,11.7509,2.7265,0.006402,0.01739
"MARCH9",0.4066,8.8279,2.012,0.04422,0.08776
"CYP27B1",0.7507,7.1874,2.7492,0.005975,0.01638
"METTL1",0.5432,9.0079,2.7608,0.005766,0.01591
"METTL21B",-0.4222,9.0193,-2.8346,0.004589,0.01311
"RP11-571M6.15",0.0753,8.0268,0.3977,0.6909,0.7742
"TSFM",0.2626,9.8458,1.263,0.2066,0.3078
"AVIL",-0.0476,7.8722,-0.1755,0.8607,0.9044
"CTDSP2",-0.5818,13.2009,-4.4382,9.071e-06,6.157e-05
"ATP23",-0.4303,7.8516,-1.6411,0.1008,0.1732
"LRIG3",-1.4391,9.906,-5.7625,8.289e-09,1.25e-07
