"gene","logFC","AveExpr","t","pvalue","padj"
"TMX3",-0.0199,10.8933,-0.1478,0.8825,0.9191
"CCDC102B",-0.235,7.5104,-0.9888,0.3228,0.4374
"DOK6",0.6532,7.0353,1.9698,0.04886,0.09552
"CD226",-0.0678,7.0589,-0.2217,0.8245,0.8773
"RTTN",0.3204,9.167,1.435,0.1513,0.2405
"SOCS6",0.1952,10.7911,1.091,0.2753,0.3865
"FBXO15",0.9501,6.5833,2.5676,0.01024,0.02581
"TIMM21",0.2073,9.339,2.1204,0.03397,0.0705
"CYB5A",0.1149,11.5451,0.4405,0.6596,0.7491
"FAM69C",0.1621,5.8209,0.3308,0.7408,0.8135
"CNDP2",0.4172,12.3746,2.4582,0.01397,0.03362
"ZNF407",0.2022,9.5741,0.9016,0.3673,0.4827
"ZADH2",-0.3577,10.7095,-2.2677,0.02334,0.05183
"TSHZ1",-0.6014,10.4678,-3.5398,0.0004005,0.001644
"ZNF516",0.3273,10.0561,1.5153,0.1297,0.2126
"ZNF236",0.544,9.4249,2.5245,0.01159,0.02866
"MBP",-0.9131,10.3534,-3.2866,0.001014,0.003609
"ATP9B",0.004,9.8064,0.0217,0.9827,0.9883
"NFATC1",-0.2517,9.7829,-0.9059,0.365,0.4803
"CTDP1",0.1898,9.5152,1.124,0.261,0.3704
"PQLC1",-0.4056,10.4071,-2.1255,0.03354,0.06978
"HSBP1L1",0.5841,8.898,3.7297,0.0001917,0.0008725
"TXNL4A",0.6818,10.4808,3.7006,0.0002151,0.0009638
"RBFA",0.1305,9.3996,0.8289,0.4072,0.5226
"RP11-795F19.5",0.0698,7.9191,0.6052,0.5451,0.6515
"ADNP2",0.4858,10.263,3.0685,0.002151,0.006845
"PARD6G",-0.269,9.1769,-1.4137,0.1575,0.2482
"PLPP2",0.4584,10.6858,1.4002,0.1615,0.2532
"MIER2",0.0023,9.3393,0.022,0.9825,0.9882
"C2CD4C",-1.9557,6.1913,-6.5595,5.4e-11,1.325e-09
"SHC2",-0.2876,9.0718,-0.9456,0.3444,0.4597
"TPGS1",-0.1284,6.8989,-0.3681,0.7128,0.7919
"CDC34",0.1328,9.8117,0.604,0.5459,0.6523
"GZMM",-0.5221,5.9647,-1.2543,0.2097,0.3116
"BSG",0.5462,13.3814,2.3262,0.02001,0.04551
"POLRMT",-0.0364,9.4634,-0.1776,0.859,0.9033
"RNF126",0.0567,9.3894,0.3132,0.7541,0.8237
"FSTL3",0.2969,9.4966,0.9006,0.3678,0.4832
"PALM",-1.1935,10.0356,-3.4937,0.0004765,0.0019
"MISP",3.1572,8.5104,5.9861,2.149e-09,3.665e-08
"PTBP1",0.5892,12.7617,4.8981,9.677e-07,8.574e-06
"PLPPR3",0.3778,6.7404,0.6213,0.5344,0.6417
"CFD",-3.2338,10.0188,-6.2094,5.319e-10,1.042e-08
"MED16",-0.1479,10.5103,-0.8191,0.4127,0.5275
"R3HDM4",0.737,10.8929,3.8589,0.0001139,0.0005567
"ARID3A",0.8357,8.2964,4.1488,3.342e-05,0.0001923
"WDR18",0.3698,9.4041,1.6211,0.105,0.1792
"GRIN3B",0.1795,6.0727,0.6393,0.5226,0.6312
"TMEM259",-0.0595,11.1103,-0.3488,0.7273,0.8023
"CNN2",-0.095,12.0404,-0.3598,0.719,0.7961
"ABCA7",-0.0308,8.8977,-0.158,0.8745,0.9139
"ARHGAP45",0.1117,9.4586,0.4338,0.6645,0.7528
"POLR2E",-0.1213,11.5495,-0.5623,0.5739,0.6772
"GPX4",-0.2672,12.6093,-1.0107,0.3121,0.4259
"SBNO2",0.3604,10.9662,2.218,0.02656,0.05759
"STK11",-0.0658,10.504,-0.3648,0.7153,0.7941
"CBARP",0.7701,6.5116,2.6406,0.008277,0.02156
"ATP5D",0.2241,9.9633,0.7628,0.4456,0.5598
"MIDN",0.4877,11.7619,2.018,0.04359,0.08666
"CIRBP",-0.4217,13.0913,-1.9729,0.04851,0.09494
"C19orf24",0.4787,9.2407,1.7592,0.07855,0.1413
"MUM1",-0.1602,10.5445,-1.0946,0.2737,0.3848
"NDUFS7",0.0187,9.8906,0.0983,0.9217,0.9455
"GAMT",0.6519,9.3121,1.8,0.07186,0.1313
"DAZAP1",0.6043,11.2957,4.1649,3.115e-05,0.0001807
"RPS15",-0.0196,11.9045,-0.0779,0.9379,0.9574
"APC2",0.1981,7.1703,0.9669,0.3336,0.449
"C19orf25",0.0847,9.2455,0.4778,0.6328,0.7264
"PCSK4",0.8194,6.9884,2.246,0.0247,0.05429
"REEP6",0.5599,9.8282,1.1802,0.2379,0.3444
"ADAMTSL5",-0.0673,7.1453,-0.174,0.8619,0.905
"MEX3D",0.6973,9.3856,3.973,7.096e-05,0.0003696
"MBD3",-0.1,10.8705,-0.4698,0.6385,0.7312
"AC005943.2",-0.1895,10.503,-0.7188,0.4722,0.5847
"UQCR11",-0.1287,10.8272,-0.4701,0.6383,0.731
"TCF3",0.8201,11.0394,4.9569,7.162e-07,6.578e-06
"ATP8B3",1.2517,6.6804,3.7501,0.0001768,0.000814
"REXO1",0.1429,9.7293,1.0438,0.2966,0.4098
"KLF16",0.459,9.1869,1.7776,0.07548,0.1366
"ABHD17A",-0.2254,9.5716,-1.3895,0.1647,0.2573
"ADAT3",0.2716,7.0208,1.3486,0.1775,0.2729
"SCAMP4",0.3803,11.2951,2.1386,0.03247,0.06807
"CSNK1G2",0.105,10.4277,0.6945,0.4874,0.5988
"BTBD2",-0.1666,11.3097,-1.0268,0.3045,0.4186
"MKNK2",-0.1242,12.45,-0.4958,0.62,0.7163
"MOB3A",0.1511,10.6689,1.1645,0.2442,0.3516
"IZUMO4",-0.0752,6.3855,-0.226,0.8212,0.8749
"AP3D1",0.2566,12.0984,2.4178,0.01562,0.03703
"DOT1L",0.4249,9.7976,2.7967,0.005162,0.01447
"PLEKHJ1",0.1856,9.9453,1.0274,0.3042,0.4185
"SF3A2",0.1806,10.6509,1.0076,0.3137,0.4276
"AMH",1.8357,5.8908,3.1343,0.001723,0.005672
"JSRP1",-0.2212,10.9775,-0.9468,0.3438,0.4591
"OAZ1",-0.0689,13.4184,-0.3428,0.7317,0.8061
"C19orf35",0.0494,5.6731,0.1475,0.8827,0.9191
"LSM7",0.4125,9.2996,1.8999,0.05744,0.1091
"LLfos-48D6.2",-0.1011,11.1297,-0.5255,0.5992,0.6994
"SPPL2B",-0.0821,10.1629,-0.5145,0.6069,0.7053
"TMPRSS9",-0.2107,6.7272,-0.7229,0.4698,0.5825
"TIMM13",0.2463,10.1101,1.063,0.2878,0.4003
"LMNB2",1.2989,10.6066,6.031,1.629e-09,2.863e-08
"GADD45B",-0.2708,10.5071,-0.9432,0.3456,0.4608
"GNG7",-1.8987,8.9677,-6.7667,1.317e-11,3.619e-10
"DIRAS1",1.0387,8.2137,2.5327,0.01132,0.02814
"AC006538.4",0.3558,8.0485,2.012,0.04422,0.08776
"SLC39A3",0.4205,9.2793,2.4101,0.01595,0.03769
"SGTA",0.1241,11.1003,0.7279,0.4667,0.5797
"THOP1",0.4828,9.8544,2.0904,0.03658,0.07488
"ZNF554",-0.1744,8.2131,-1.2176,0.2234,0.3272
"ZNF555",-0.2088,8.4197,-1.2923,0.1963,0.2955
"ZNF556",-1.4218,5.6906,-2.8538,0.00432,0.01247
"ZNF57",0.1522,7.7902,1.0507,0.2934,0.4062
"ZNF77",-0.1912,7.6163,-1.2873,0.198,0.2977
"TLE6",1.0918,6.9216,3.0326,0.002425,0.00758
"TLE2",-0.8633,10.1216,-2.6376,0.008349,0.0217
"AES",-0.104,13.2203,-0.4915,0.6231,0.7186
"GNA11",-0.3453,11.366,-2.1707,0.02995,0.06366
"GNA15",0.3054,8.3746,1.0715,0.2839,0.396
"S1PR4",-0.8628,6.2897,-2.4732,0.01339,0.03244
"NCLN",0.5156,10.6438,2.5444,0.01095,0.02734
"CELF5",-1.2779,6.3576,-2.1632,0.03052,0.06465
"NFIC",0.1438,12.804,0.6576,0.5108,0.6203
"DOHH",0.2649,8.0919,0.9554,0.3394,0.455
"FZR1",0.1901,10.5218,1.3737,0.1695,0.2632
"C19orf71",0.1177,6.595,0.4458,0.6557,0.7462
"MFSD12",0.7846,10.3906,4.0553,5.008e-05,0.0002731
"HMG20B",0.6493,11.0993,3.2967,0.0009782,0.003498
"GIPC3",-0.1347,7.7281,-0.5689,0.5695,0.6731
"TBXA2R",0.1387,6.7214,0.5766,0.5642,0.6687
"CACTIN",-0.137,9.3565,-0.8567,0.3916,0.5065
"PIP5K1C",0.129,10.8966,1.1354,0.2562,0.365
"TJP3",0.9349,9.4906,2.178,0.0294,0.06267
"APBA3",0.1205,8.5872,0.7389,0.46,0.5733
"MRPL54",-0.2076,9.3182,-0.8028,0.4221,0.5366
"MATK",-0.9027,6.9201,-2.294,0.02179,0.0489
"DAPK3",0.1687,10.1992,0.7548,0.4504,0.5645
"EEF2",-0.4044,16.2211,-2.0497,0.0404,0.08135
"PIAS4",0.4676,9.5603,3.6498,0.0002625,0.001142
"ZBTB7A",0.1641,10.7389,1.0123,0.3114,0.4253
"MAP2K2",-0.0403,10.9391,-0.1759,0.8604,0.9042
"SIRT6",0.4669,8.5519,2.3657,0.018,0.04168
"ANKRD24",-0.1192,6.538,-0.3838,0.7012,0.7824
"EBI3",-0.0364,6.533,-0.1048,0.9165,0.9421
"CCDC94",-0.1235,9.1184,-0.636,0.5248,0.6331
"STAP2",0.663,9.5466,2.2199,0.02643,0.05741
"MPND",0.1847,9.0162,0.8516,0.3945,0.5092
"SH3GL1",0.5243,11.0865,3.5557,0.000377,0.001558
"CHAF1A",0.9646,9.1604,5.547,2.905e-08,3.812e-07
"UBXN6",-0.296,11.3563,-1.5147,0.1298,0.2127
"CTB-50L17.10",0.2338,10.2826,1.0349,0.3007,0.4145
"PLIN4",-3.8097,11.8919,-5.762,8.311e-09,1.252e-07
"PLIN5",-0.4439,8.0727,-1.0184,0.3085,0.4225
"CTB-50L17.14",0.0056,6.8734,0.0137,0.989,0.9926
"LRG1",1.7545,8.8882,3.2869,0.001013,0.003606
"SEMA6B",-0.7449,8.6159,-2.2502,0.02444,0.05381
"TNFAIP8L1",0.8805,9.3559,4.5128,6.397e-06,4.568e-05
"MYDGF",0.6005,10.6711,2.7108,0.006713,0.0181
"DPP9",0.4944,10.8301,2.8121,0.004922,0.01393
"FEM1A",0.0828,10.8182,0.5534,0.58,0.6823
"TICAM1",0.3603,9.6166,2.4238,0.01536,0.03652
"PLIN3",0.1587,11.1,0.7333,0.4634,0.5766
"UHRF1",3.4577,8.2569,9.6103,7.232e-22,1.188e-19
"KDM4B",0.9071,11.5641,3.7493,0.0001773,0.0008162
"PTPRS",-0.8498,10.8387,-3.5542,0.0003791,0.001566
"TINCR",1.8055,7.5599,4.1137,3.894e-05,0.0002199
"SAFB2",0.0633,10.436,0.4751,0.6347,0.7281
"SAFB",0.1633,11.6294,1.2937,0.1958,0.2951
"C19orf70",-0.1305,9.5782,-0.4863,0.6267,0.7217
"HSD11B1L",0.188,7.8158,0.8129,0.4163,0.5311
"RPL36",0.0978,13.2498,0.3428,0.7317,0.8061
"LONP1",0.2009,11.0099,0.9383,0.3481,0.4632
"PRR22",0.5055,6.4991,1.7339,0.08294,0.1476
"CTB-54O9.9",0.0893,6.4577,0.3689,0.7122,0.7915
"DUS3L",-0.1021,8.868,-0.5332,0.5939,0.6943
"NRTN",-0.477,6.1553,-0.983,0.3256,0.4403
"FUT6",-1.5997,6.0244,-2.564,0.01035,0.02605
"FUT3",0.7975,6.5308,1.503,0.1328,0.2167
"FUT5",0.1534,5.5663,0.3139,0.7536,0.8233
"AC024592.12",0.0526,10.4797,0.2336,0.8153,0.8709
"NDUFA11",0.0425,10.8601,0.1898,0.8494,0.8959
"VMAC",0.1002,7.9629,0.6764,0.4988,0.6099
"AC104532.2",1.3251,7.2546,3.0969,0.001955,0.006315
"CAPS",1.3208,9.2197,3.4363,0.0005896,0.002283
"RANBP3",0.1322,10.8182,1.3366,0.1813,0.2778
"ACSBG2",0.2464,5.7319,0.5974,0.5502,0.6563
"RFX2",-0.525,8.7533,-2.4045,0.01619,0.03816
"MLLT1",0.1195,11.2426,1.0835,0.2786,0.39
"CLPP",0.3933,9.882,1.7623,0.07802,0.1405
"ALKBH7",-0.3646,9.4434,-1.2924,0.1962,0.2955
"PSPN",0.1942,7.262,1.0853,0.2778,0.3891
"GTF2F1",0.1663,11.2395,0.9291,0.3528,0.468
"KHSRP",0.4466,11.9654,3.0937,0.001977,0.006376
"SLC25A23",-0.0206,10.9696,-0.1021,0.9187,0.9434
"CRB3",0.8683,8.2358,2.7442,0.006067,0.01661
"DENND1C",0.6057,8.7692,2.613,0.008976,0.02309
"TUBB4A",0.7221,7.0754,2.1759,0.02956,0.06295
"TNFSF9",-0.2892,6.1426,-0.6254,0.5317,0.6394
"TNFSF14",-0.2319,6.6208,-0.5223,0.6015,0.7008
"C3",-1.107,13.8007,-2.9431,0.00325,0.009752
"GPR108",-0.1806,10.8306,-1.1621,0.2452,0.3527
"TRIP10",-0.4542,10.4331,-2.2194,0.02646,0.05746
"SH2D3A",-0.0023,8.7438,-0.0085,0.9932,0.9955
"VAV1",0.1438,8.2708,0.5476,0.584,0.6858
"ADGRE1",0.913,6.301,2.5749,0.01003,0.02535
"ZNF557",0.1876,8.6891,1.1351,0.2563,0.3651
"INSR",0.0324,11.8825,0.1988,0.8424,0.8911
"ARHGEF18",0.2754,10.3526,2.409,0.016,0.03779
"CTD-2207O23.3",0.283,10.218,2.5274,0.01149,0.02845
"PEX11G",0.0038,7.3554,0.0137,0.9891,0.9926
"C19orf45",2.3027,5.9071,5.0893,3.594e-07,3.579e-06
"CTD-2207O23.12",-0.3352,9.0381,-2.1238,0.03369,0.07001
"ZNF358",-0.2489,10.7029,-1.2177,0.2233,0.3272
"MCOLN1",-0.231,9.484,-1.5072,0.1318,0.2152
"CTD-2207O23.10",-0.2685,7.8797,-1.9537,0.05074,0.09848
"PNPLA6",-0.1242,10.5454,-0.8265,0.4085,0.5239
"CAMSAP3",0.5974,9.5804,1.7883,0.07373,0.1341
"XAB2",-0.1429,10.6694,-0.7865,0.4316,0.5459
"PET100",0.4653,8.6296,2.2856,0.02228,0.04977
"PCP2",0.6281,6.494,1.3293,0.1838,0.2808
"CTD-3214H19.4",0.6487,10.1134,3.4228,0.0006199,0.002382
"STXBP2",0.7194,10.6706,2.8587,0.004253,0.0123
"CTD-3214H19.16",0.2141,9.2283,0.8416,0.4,0.5153
"TRAPPC5",0.2373,9.325,1.021,0.3073,0.4213
"FCER2",-3.1424,5.8761,-5.2422,1.587e-07,1.729e-06
"CD209",-3.033,7.915,-7.4491,9.396e-14,4.055e-12
"EVI5L",-0.1171,9.0285,-0.6178,0.5367,0.6435
"PRR36",2.6832,9.3677,6.5566,5.504e-11,1.345e-09
"LRRC8E",0.6637,9.0517,2.5077,0.01215,0.02986
"MAP2K7",-0.2737,10.2229,-2.1304,0.03314,0.0691
"SNAPC2",0.5128,9.2097,2.0592,0.03948,0.07982
"CTXN1",2.0772,8.1629,5.2963,1.182e-07,1.329e-06
"TIMM44",0.0265,9.5741,0.1221,0.9028,0.9329
"ELAVL1",0.6232,11.3623,5.2563,1.47e-07,1.62e-06
"FBN3",-1.5381,6.1031,-4.1953,2.725e-05,0.0001604
"CERS4",0.4416,10.6905,1.5507,0.121,0.2012
"CD320",-0.1057,9.4575,-0.3296,0.7417,0.8142
"CTD-2550O8.5",0.3914,9.5316,1.2817,0.1999,0.3001
"NDUFA7",0.404,9.577,1.3548,0.1755,0.2708
"RPS28",0.2217,9.6348,0.6546,0.5127,0.6221
"KANK3",-1.8613,8.1832,-6.951,3.627e-12,1.119e-10
"ANGPTL4",-1.5685,9.3993,-3.7213,0.0001982,0.000897
"RAB11B",-0.3218,11.3847,-2.2377,0.02524,0.05525
"MARCH2",-0.5144,10.0657,-2.2426,0.02492,0.05467
"HNRNPM",0.2344,12.5751,1.5395,0.1237,0.2047
"PRAM1",-0.1571,6.7052,-0.5453,0.5856,0.687
"ZNF414",-0.1075,8.1771,-0.5602,0.5754,0.6785
"MYO1F",-0.0141,9.0059,-0.0545,0.9565,0.9701
"ADAMTS10",-0.0946,8.0558,-0.312,0.755,0.8243
"ZNF558",-0.0592,9.6138,-0.5162,0.6057,0.7043
"MUC16",0.6817,8.6722,1.2173,0.2235,0.3274
"ZNF317",0.0351,10.2885,0.3522,0.7247,0.8003
"ZNF699",-0.3543,7.4295,-1.1765,0.2394,0.3459
"ZNF559",-0.5267,9.236,-2.7751,0.005519,0.01534
"ZNF559-ZNF177",-0.1076,8.2342,-0.4626,0.6437,0.7356
"ZNF177",0.0481,7.7466,0.1957,0.8448,0.8927
"ZNF266",-0.1269,10.1758,-0.9376,0.3485,0.4636
"ZNF426",-0.2769,9.7674,-1.3269,0.1845,0.2817
"ZNF121",0.7515,10.2248,3.3729,0.0007438,0.002771
"ZNF561",-0.3848,10.6802,-2.8189,0.004818,0.01366
"ZNF562",0.2635,10.4574,1.5743,0.1154,0.1933
"ZNF846",-0.5304,7.9494,-3.3784,0.000729,0.002722
"FBXL12",-0.2517,9.1375,-1.7183,0.08574,0.1516
"UBL5",0.6903,11.0975,2.7545,0.005878,0.01616
"PIN1",0.2454,9.6497,1.1239,0.2611,0.3704
"OLFM2",0.6249,9.1941,1.8506,0.06422,0.1198
"COL5A3",0.5844,10.1566,1.7263,0.08429,0.1496
"C19orf66",0.3016,9.6754,1.4212,0.1552,0.2454
"ANGPTL6",0.2491,7.9458,1.1589,0.2465,0.3541
"PPAN",0.5671,9.2788,2.3418,0.01919,0.04394
"PPAN-P2RY11",0.5788,9.3654,2.4636,0.01376,0.03319
"P2RY11",0.1136,9.1339,0.4653,0.6417,0.7339
"EIF3G",-0.3018,11.8025,-1.3459,0.1783,0.2738
"S1PR2",-0.3929,9.0943,-2.0026,0.04522,0.08943
"DNMT1",1.0795,11.2914,5.1055,3.299e-07,3.315e-06
"MRPL4",0.3421,10.0732,1.3505,0.1768,0.2722
"ICAM1",0.6739,10.6825,2.1341,0.03283,0.06867
"ICAM4",-0.9877,5.6663,-3.0131,0.002586,0.008
"ICAM5",-2.5024,5.9704,-6.1379,8.363e-10,1.567e-08
"ZGLP1",0.1403,6.4939,0.667,0.5048,0.615
"CTD-2369P2.10",0.3946,8.2991,1.6256,0.104,0.1778
"FDX2",0.442,8.2252,1.7244,0.08464,0.15
"CTD-2369P2.12",1.0318,10.253,4.5066,6.588e-06,4.684e-05
"RAVER1",0.8784,10.7778,4.4523,8.494e-06,5.832e-05
"ICAM3",-0.0133,9.007,-0.0673,0.9464,0.963
"TYK2",0.192,10.8561,1.5338,0.1251,0.2066
"CDC37",-0.0562,11.8265,-0.2431,0.8079,0.8652
"PDE4A",0.0409,9.4596,0.1273,0.8987,0.9303
"KEAP1",-0.0954,10.9559,-0.4095,0.6822,0.7667
"S1PR5",-0.2544,6.4149,-0.7504,0.453,0.5666
"ATG4D",0.4907,9.1425,1.8527,0.06393,0.1194
"KRI1",0.3827,10.158,1.999,0.0456,0.09004
"CDKN2D",1.2351,8.0255,3.9603,7.485e-05,0.0003866
"AP1M2",1.1981,10.7303,3.3769,0.0007331,0.002735
"SLC44A2",0.0659,12.8448,0.4827,0.6293,0.7236
"ILF3",0.5441,12.9739,3.8707,0.0001085,0.0005338
"QTRT1",0.0835,9.4956,0.3366,0.7364,0.81
"DNM2",0.1205,11.9758,0.8064,0.42,0.5344
"TMED1",-0.0072,9.5675,-0.0293,0.9766,0.984
"C19orf38",0.0193,6.4265,0.0759,0.9395,0.9582
"CARM1",0.5265,11.1119,2.2052,0.02744,0.05917
"YIPF2",0.6285,10.9491,3.1569,0.001594,0.005309
"TIMM29",0.3871,8.6163,2.212,0.02697,0.05837
"SMARCA4",0.9548,11.9917,4.8038,1.556e-06,1.311e-05
"LDLR",-0.1025,11.0532,-0.3565,0.7215,0.7978
"SPC24",1.9581,7.8981,7.8678,3.61e-15,2.004e-13
"KANK2",-0.6573,11.592,-3.1331,0.00173,0.005691
"ANGPTL8",-1.3601,6.7745,-3.5874,0.000334,0.001403
"DOCK6",-0.4838,10.3887,-2.5014,0.01237,0.03036
"RAB3D",0.9815,11.3588,5.2432,1.578e-07,1.721e-06
"TMEM205",0.5013,10.7577,1.7674,0.07717,0.1392
"CCDC159",0.3981,10.0009,1.671,0.09471,0.1643
"PLPPR2",0.4848,10.0069,2.5909,0.009573,0.02434
"SWSAP1",0.0877,7.4358,0.4057,0.685,0.769
"EPOR",0.2273,7.932,1.0695,0.2849,0.3969
"RGL3",0.6247,8.2141,1.6887,0.09128,0.1596
"CCDC151",0.9673,7.0667,3.5228,0.0004271,0.001735
"PRKCSH",0.2577,12.7737,1.3816,0.1671,0.2601
"CTC-398G3.6",-0.059,6.0131,-0.279,0.7802,0.8446
"ZNF653",0.1015,7.5374,0.496,0.6199,0.7161
"ECSIT",-0.4599,9.8587,-1.8967,0.05787,0.1098
"CNN1",-3.2108,10.6598,-8.6318,6.037e-18,5.718e-16
"ELOF1",0.4129,10.2538,2.0079,0.04465,0.08845
"ACP5",0.4066,10.3675,1.2533,0.2101,0.312
"ZNF627",0.3233,9.7018,2.4234,0.01537,0.03656
"ZNF823",-0.0369,8.6006,-0.2663,0.79,0.8517
"ZNF441",-0.6518,8.6267,-3.3786,0.0007285,0.002721
"ZNF491",0.0691,7.0107,0.2939,0.7688,0.8352
"ZNF440",0.2509,9.0347,1.5682,0.1168,0.1953
"ZNF439",0.2446,8.375,1.0263,0.3047,0.4188
"ZNF69",0.1372,7.6783,0.7506,0.4529,0.5665
"ZNF700",0.1804,9.1341,1.1352,0.2563,0.3651
"CTD-2006C1.13",-0.0596,7.9219,-0.371,0.7106,0.7901
"ZNF763",-0.3443,7.6937,-1.6136,0.1066,0.1813
"ZNF433",0.0384,7.974,0.2857,0.7751,0.8402
"ZNF878",0.803,5.682,2.8261,0.004712,0.01342
"CTD-2006C1.10",0.2294,5.9609,1.1842,0.2363,0.3424
"ZNF844",-0.2482,9.847,-1.2787,0.201,0.3012
"ZNF788",0.1047,8.1738,0.5499,0.5824,0.6843
"ZNF20",0.2038,8.3808,1.5944,0.1109,0.1871
"ZNF625",0.663,7.6038,3.5221,0.0004282,0.001738
"ZNF625-ZNF20",0.2731,8.6238,2.1544,0.03121,0.06589
"ZNF136",-0.2072,9.1008,-1.3759,0.1689,0.2622
"ZNF44",-0.0758,9.0851,-0.4076,0.6836,0.768
"ZNF563",-0.3352,7.36,-2.1119,0.03469,0.0717
"ZNF442",-0.1006,7.1682,-0.5853,0.5584,0.6637
"ZNF799",0.383,8.4046,2.2882,0.02213,0.04952
"CTD-3105H18.14",-0.1378,6.3708,-0.6684,0.5039,0.6143
"CTD-3105H18.16",0.2399,6.6182,1.3355,0.1817,0.2782
"ZNF443",0.3857,8.2362,2.5703,0.01016,0.02565
"CTD-3105H18.18",-0.0355,5.9606,-0.141,0.8879,0.9228
"ZNF709",-0.1496,7.9423,-0.8009,0.4232,0.5374
"CTD-2192J16.17",-0.1581,7.9082,-0.8473,0.3968,0.5117
"ZNF564",0.0296,8.9632,0.2588,0.7958,0.856
"CTD-2192J16.20",0.191,9.4556,1.5431,0.1228,0.2035
"ZNF791",-0.2434,10.3257,-2.4682,0.01358,0.03281
"ZNF490",0.5744,8.221,2.7609,0.005765,0.01591
"CTD-2192J16.22",-0.3004,12.2419,-1.694,0.09026,0.1582
"MAN2B1",0.3248,11.4529,1.8831,0.05969,0.1126
"CTD-2192J16.24",0.006,9.8654,0.0527,0.9579,0.9707
"WDR83OS",0.0612,11.4209,0.3383,0.7351,0.8089
"WDR83",0.0919,9.8852,0.6729,0.501,0.6117
"DHPS",0.1859,10.4059,0.9373,0.3486,0.4637
"FBXW9",0.3531,8.5354,1.487,0.137,0.222
"TNPO2",0.3128,11.4864,2.1184,0.03414,0.07075
"C19orf43",0.3814,11.1918,2.0633,0.03909,0.07913
"ASNA1",0.4569,10.7723,2.4115,0.01589,0.03758
"JUNB",-1.4617,11.9116,-4.7651,1.888e-06,1.546e-05
"PRDX2",0.4918,12.3045,1.9916,0.04642,0.09139
"RNASEH2A",1.5281,9.1536,6.4267,1.304e-10,2.884e-09
"HOOK2",-0.6631,10.5237,-3.2466,0.001168,0.004069
"MAST1",2.7579,6.1864,5.4275,5.715e-08,6.966e-07
"DNASE2",0.534,10.8987,3.1451,0.00166,0.0055
"GCDH",-0.2305,9.4358,-1.2734,0.2029,0.3034
"SYCE2",0.77,6.4328,3.1088,0.001878,0.006096
"FARSA",0.5314,10.4677,2.4391,0.01472,0.0352
"CALR",0.9643,14.2346,4.6698,3.015e-06,2.342e-05
"RAD23A",0.2754,11.7396,1.8279,0.06757,0.1248
"GADD45GIP1",0.1159,10.9302,0.406,0.6847,0.7689
"NFIX",-1.1127,12.3309,-3.9529,7.722e-05,0.0003971
"LYL1",-0.6764,7.2287,-2.292,0.02191,0.04913
"TRMT1",0.0532,9.5605,0.3005,0.7638,0.8314
"NACC1",1.1767,11.0596,6.7866,1.148e-11,3.199e-10
"STX10",0.257,9.7483,1.4678,0.1422,0.2288
"IER2",-0.4967,11.9193,-1.6166,0.106,0.1804
"CACNA1A",0.4561,6.7198,1.4702,0.1415,0.228
"CCDC130",-0.0548,9.2854,-0.4243,0.6714,0.7586
"MRI1",0.12,9.7908,0.8678,0.3855,0.5002
"C19orf53",0.5577,10.69,2.3292,0.01985,0.04521
"ZSWIM4",0.7247,9.1775,3.7008,0.0002149,0.0009633
"C19orf57",0.3168,7.4414,0.9862,0.324,0.4388
"CC2D1A",-0.1871,10.3863,-1.1496,0.2503,0.3582
"PODNL1",0.5971,8.1517,1.5479,0.1216,0.202
"DCAF15",0.1268,9.3851,0.6684,0.5039,0.6143
"RFX1",0.083,9.2958,0.6605,0.5089,0.6187
"IL27RA",-0.4966,9.2142,-1.5972,0.1102,0.1863
"PALM3",-1.016,6.3319,-2.6569,0.007886,0.02069
"MISP3",1.0802,8.0118,2.8946,0.003796,0.01115
"SAMD1",1.4154,10.2045,5.7887,7.094e-09,1.082e-07
"PRKACA",0.1922,11.8518,1.6066,0.1081,0.1833
"ASF1B",2.9118,8.4991,9.4295,4.121e-21,6.259e-19
"ADGRL1",0.543,10.7584,2.129,0.03325,0.06927
"ADGRE5",-0.8007,9.9133,-3.3333,0.0008581,0.00312
"DDX39A",1.3798,10.1754,5.792,6.955e-09,1.063e-07
"PKN1",0.588,11.461,2.512,0.012,0.02955
"GIPC1",0.5862,10.923,2.7097,0.006735,0.01815
"DNAJB1",-0.3129,12.3289,-2.0643,0.03899,0.07895
"TECR",0.2626,11.0441,1.3073,0.1911,0.2895
"NDUFB7",-0.2187,10.2409,-0.7468,0.4552,0.5686
"ZNF333",-0.2722,9.2719,-1.6031,0.1089,0.1844
"ADGRE2",0.1016,8.025,0.413,0.6796,0.7653
"OR7A5",0.1875,6.1271,0.8804,0.3786,0.4934
"SYDE1",-0.3532,9.1145,-1.769,0.07689,0.1388
"ILVBL",0.1473,10.3854,0.5486,0.5833,0.6851
"NOTCH3",0.2251,12.7784,1.8043,0.07118,0.1304
"EPHX3",0.034,6.0377,0.0964,0.9232,0.9465
"BRD4",0.4645,11.6598,3.0159,0.002562,0.007942
"AKAP8",0.0329,10.1016,0.2802,0.7794,0.8439
"AKAP8L",0.3125,10.3763,1.959,0.05012,0.09748
"WIZ",0.3216,10.8927,3.1426,0.001675,0.00554
"RASAL3",-0.0933,7.8856,-0.4035,0.6866,0.7706
"PGLYRP2",0.9532,6.6089,1.4876,0.1369,0.2218
"CYP4F22",-1.4359,7.8793,-2.4066,0.0161,0.038
"CYP4F8",0.5971,6.4833,0.7138,0.4753,0.5877
